id,name,url,genre,country,language,quality,logo,source,isActive,isValidStream
tv_12tv,12tv,http://cloud.streamingconnect.tv/hls/12tv/12tv2.m3u8,,,,Auto,https://i.imgur.com/VSTgXsh.png,m3u,true,true
tv_13_entretencin_720p,13 Entretención (720p),http://origin.dpsgo.com/ssai/event/BBp0VeP6QtOOlH8nu3bWTg/master.m3u8,,,,Auto,https://i.imgur.com/utI1tJV.png,m3u,true,true
tv_13_festival_1080p,13 Festival (1080p),http://origin.dpsgo.com/ssai/event/Nftd0fM2SXasfDlRphvUsg/master.m3u8,,,,Auto,https://i.imgur.com/hTUe0Pw.png,m3u,true,true
tv_13_humor_1080p,13 Humor (1080p),http://origin.dpsgo.com/ssai/event/cKWySXKgSK-SzlJmESkOWw/master.m3u8,,,,Auto,https://i.imgur.com/KvMuTzN.png,m3u,true,true
tv_13_kids_1080p,13 Kids (1080p),http://origin.dpsgo.com/ssai/event/LhHrVtyeQkKZ-Ye_xEU75g/master.m3u8,,,,Auto,https://i.imgur.com/8WJUbSD.png,m3u,true,true
tv_13_prime_720p,13 Prime (720p),http://origin.dpsgo.com/ssai/event/p4mmBxEzSmKAxY1GusOHrw/master.m3u8,,,,Auto,https://i.imgur.com/R6D228s.png,m3u,true,true
tv_13_realities_1080p,13 Realities (1080p),http://origin.dpsgo.com/ssai/event/g7_JOM0ORki9SR5RKHe-Kw/master.m3u8,,,,Auto,https://i.imgur.com/snqCYWP.png,m3u,true,true
tv_13_teleseries_720p,13 Teleseries (720p),http://origin.dpsgo.com/ssai/event/f4TrySe8SoiGF8Lu3EIq1g/master.m3u8,,,,Auto,https://i.imgur.com/Agtfbfi.png,m3u,true,true
tv_13c_1080p,13C (1080p),http://origin.dpsgo.com/ssai/event/GI-9cp_bT8KcerLpZwkuhw/master.m3u8,,,,Auto,https://i.ibb.co/3fbvkZ3/13cultura.png,m3u,true,true
tv_13max_televisin_1080p,13Max Televisión (1080p),http://coninfo.net:1935/13maxhd/live13maxtvnuevo/playlist.m3u8,,,,HD,https://i.imgur.com/QvF4l2t.png,m3u,true,true
tv_13max_televisin_720p,13Max Televisión (720p),http://coninfo.net:1935/13maxhd/live13maxtvnuevo_720p/playlist.m3u8?checkedby:iptvcat.com,,,,HD,,m3u,true,true
tv_15tv,15TV,http://cdn.fastocloud.com/leonel.m3u8,,,,Auto,https://i.imgur.com/CZ8LKmA.png,m3u,true,true
tv_24_horas_1080p,24 Horas (1080p),http://d32rw80ytx9uxs.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-vlldndmow4yre/24HES.m3u8,,,,Auto,https://i.imgur.com/IUVRm5L.png,m3u,true,true
tv_24_horas_internacional,24 Horas Internacional,http://viamotionhsi.netplus.ch/live/eds/canal24horas/browser-HLS8/canal24horas.m3u8,,,,Auto,https://i.imgur.com/IUVRm5L.png,m3u,true,true
tv_30a_golf_kingdom,30A Golf Kingdom,http://30a-tv.com/feeds/vidaa/golf.m3u8?checkedby:iptvcat.com,,,,Auto,,m3u,true,true
tv_30a_music_channel,30A Music Channel,http://30a-tv.com/feeds/ceftech/30atvmusic.m3u8?checkedby:iptvcat.com,,,,Auto,,m3u,true,true
tv_5tv_corrientes_480p,5TV (Corrientes) (480p),http://www.coninfo.net:1935/tvcinco/live1/playlist.m3u8?checkedby:iptvcat.com,,,,Auto,https://i.imgur.com/kujnLsO.png,m3u,true,true
tv_5tv_corrientes_480p_not_247,5TV Corrientes (480p) [Not 24/7],http://www.coninfo.net:1935/tvcinco/live1/playlist.m3u8,,,,Auto,https://i.imgur.com/mSn7ACs.png,m3u,true,true
tv_5tv_corrientesar_5tv_corrientes,"5TV Corrientes,AR | 5TV Corrientes",http://www.coninfo.net:1935/tvcinco/live1/chunklist_w1546509083.m3u8?checkedby:iptvcat.com,,,,Auto,https://i.imgur.com/kujnLsO.png,m3u,true,true
tv_7_televalencia_576p,7 TeleValencia (576p),http://play.cdn.enetres.net/9E9557EFCEBB43A89CEC8FBD3C500247022/028/playlist.m3u8,,,,Auto,https://i.imgur.com/ILfXDRs.png,m3u,true,true
tv_8_la_marina_tv_576p,8 La Marina TV (576p),http://streaming005.gestec-video.com/hls/canal24.m3u8,,,,Auto,https://i.imgur.com/BTJvvBK.png,m3u,true,true
tv_88_stereo_720p_not_247,88 Stereo (720p) [Not 24/7],http://k3.usastreams.com/CableLatino/88stereo/playlist.m3u8,,,,Auto,https://i.imgur.com/i3YwORV.png,m3u,true,true
tv_90s_kids,90's Kids,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/6452c814939a590008567a3b/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c263254-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&sid=a2521e96-4461-4157-b0d7-865b57c5f565&serverSideAds=false&checkedby:iptvcat.com,,,,Auto,,m3u,true,true
tv_981_pearl_fm_720p,98.1 Pearl FM (720p),http://live2.tensila.com/pearl-v-1.pearlfm/hls/live/mystream.m3u8,,,,Auto,https://i.imgur.com/GY750xh.jpg,m3u,true,true
tv_a_guate_720p,A+ Guate (720p),http://ch2-tva.duin.dev/hls/stream.m3u8,,,,Auto,https://i.imgur.com/BtGK7iZ.png,m3u,true,true
tv_abc_me_720p,ABC Me (720p),http://c.mjh.nz/abc-me.m3u8,,,,Auto,https://i.imgur.com/6NyFLAm.png,m3u,true,true
tv_abc_news_720p,ABC News (720p),http://content.uplynk.com/channel/3324f2467c414329b3b0cc5cd987b6be.m3u8,,,,Auto,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/ABC_News_Live_logo_2021.svg/512px-ABC_News_Live_logo_2021.svg.png,m3u,true,true
tv_abc_news_live,ABC News Live,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/6508be683a0d700008c534e4/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c265962-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=99b21a01-5948-4846-8087-2fee1b5f0a3d&checkedby:iptvcat.com,,,,Auto,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/ABC_News_Live_logo_2021.svg/512px-ABC_News_Live_logo_2021.svg.png,m3u,true,true
tv_acento_tv,Acento TV,http://acentotv01.streamprolive.com/hls/live.m3u8,,,,Auto,https://i.imgur.com/jhiZfHf.png,m3u,true,true
tv_activa_tv_720p,Activa TV (720p),http://streamtv.mediasector.es/hls/activatv/index.m3u8,,,,Auto,https://i.imgur.com/VCUZKiw.png,m3u,true,true
tv_adn_40_720p,ADN 40 (720p),http://mdstrm.com/live-stream-playlist/60b578b060947317de7b57ac.m3u8,,,,Auto,https://i.imgur.com/Og17U9N.png,m3u,true,true
tv_adn_tv,ADN TV+,http://d3b73b34o7cvkq.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-gz2sgqzp076kf/adn.m3u8,,,,Auto,https://i.imgur.com/HQZQyWt.png,m3u,true,true
tv_ado_tv_720p,ADO TV (720p),http://strhls.streamakaci.tv/ortb/ortb2-multi/playlist.m3u8,,,,Auto,https://i.imgur.com/pxFamLr.png,m3u,true,true
