id,name,logo,stream_url,genre,country,language,quality,type,is_active
tv_america_tv_hd,America TV HD,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Am%C3%A9rica_Televisi%C3%B3n_%28Logo_2020%29.png/512px-Am%C3%A9rica_Televisi%C3%B3n_%28Logo_2020%29.png,http://live-evg20.tv360.bitel.com.pe/bitel/america_tv_abr/playlist.m3u8?uid=,General,Peru,es,[object Object],tv,true
tv_ae_hd,A&E HD,,http://181.188.216.5:18000/play/a0cv/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_amc_hd,AMC HD,,http://181.188.216.5:18000/play/a0cw/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_axn_hd,AXN HD,,http://181.188.216.5:18000/play/a0oq/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_az_click_hd,AZ click HD,,http://181.188.216.5:18000/play/a0d2/index.m3u8,General,Chile,es,[object Object],tv,true
tv_animal_planet_hd,Animal Planet HD,,http://181.188.216.5:18000/play/a0oh/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_chv_hd,CHV HD,,http://181.188.216.5:18000/play/a0ii/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_cinecanal_hd,CINECANAL HD,,http://181.188.216.5:18000/play/a0co/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_cnn_internacional,CNN Internacional,,http://181.188.216.5:18000/play/a09b/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_cnn_espaol,CNN Espaæol,,http://181.188.216.5:18000/play/a0kz/index.m3u8,General,España,es,[object Object],tv,true
tv_canal_10_hd_esa,Canal 10 HD - ESA,,http://181.188.216.5:18000/play/a09c/index.m3u8,General,España,es,[object Object],tv,true
tv_canal_10_hd,Canal 10 HD,,http://181.188.216.5:18000/play/a09i/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_cnne,CNNE,,http://181.188.216.5:18000/play/a0af/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_canal_13_hd,Canal 13 HD,,http://181.188.216.5:18000/play/a0gi/index.m3u8,General,Argentina,es,[object Object],tv,true
tv_cnn_international,CNN International,,http://181.188.216.5:18000/play/a0ko/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_canal_4_hd_esa,Canal 4 HD ESA,,http://181.188.216.5:18000/play/a09d/index.m3u8,General,España,es,[object Object],tv,true
tv_canal_7_hd_cr,Canal 7 HD CR,,http://181.188.216.5:18000/play/a0cp/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_cinemax_hd,Cinemax HD,,http://181.188.216.5:18000/play/a0lf/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_caracol_hd,Caracol HD,,http://181.188.216.5:18000/play/a0fd/index.m3u8,General,Argentina,es,[object Object],tv,true
tv_comedy_central_hd,Comedy Central HD,,http://181.188.216.5:18000/play/a0ha/index.m3u8,General,Colombia,es,[object Object],tv,true
tv_dhe_hd,DHE HD,,http://181.188.216.5:18000/play/a0p0/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_disc_theather_hd,DISC THEATHER HD,,http://181.188.216.5:18000/play/a0d8/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_discovery_channel_hd,Discovery Channel  HD,,http://181.188.216.5:18000/play/a0oi/index.m3u8,General,Colombia,es,[object Object],tv,true
tv_discovery_hh_hd,Discovery H&H HD,,http://181.188.216.5:18000/play/a0kx/index.m3u8,General,Colombia,es,[object Object],tv,true
tv_discovery_id_hd,Discovery ID HD,,http://181.188.216.5:18000/play/a0dv/index.m3u8,General,Colombia,es,[object Object],tv,true
tv_discovery_hd,Discovery HD,,http://181.188.216.5:18000/play/a00f/index.m3u8,General,Colombia,es,[object Object],tv,true
tv_discovery_kids_hd,Discovery Kids HD,,http://181.188.216.5:18000/play/a0pr/index.m3u8,General,Colombia,es,[object Object],tv,true
tv_discovery_theater_hd,Discovery Theater HD,,http://181.188.216.5:18000/play/a0ig/index.m3u8,General,Colombia,es,[object Object],tv,true
tv_discovery_science,Discovery Science,,http://181.188.216.5:18000/play/a0qc/index.m3u8,General,Colombia,es,[object Object],tv,true
tv_disney_hd,Disney HD,,http://181.188.216.5:18000/play/a0ot/index.m3u8,General,Internacional,es,[object Object],tv,true
tv_discovery_world_hd,Discovery World HD,,http://181.188.216.5:18000/play/a005/index.m3u8,General,Colombia,es,[object Object],tv,true
tv_disney_channel,Disney Channel,,http://181.188.216.5:18000/play/a0pd/index.m3u8,General,Internacional,es,[object Object],tv,true
